編號	地址
62081 >>> 台南市鹽水區中山路3巷10號
62082 >>> 台南市新市區自強街27號
62085 >>> 台南市新市區光華街238號
62086 >>> 台南市善化區大同路283號
62088 >>> 台南市善化區文昌路8號
62090 >>> 台南市新化區唪口里唪口116號1樓
62091 >>> 嘉義縣番路鄉公田村隙頂7-18號
62092 >>> 嘉義縣阿里山鄉樂野村238之3號
62094 >>> 嘉義縣番路鄉下坑村35-3號
62096 >>> 嘉義縣梅山鄉太和村18號
62097 >>> 嘉義縣竹崎鄉中和村奮起湖165-2號
62098 >>> 高雄市左營區高鐵路123號B2
62121 >>> 高雄市三民區建國一路476號
62139 >>> 高雄市新興區八德二路31號
62159 >>> 高雄市左營區勝利路158-1號
62166 >>> 高雄市前鎮區崗山中街91號
62169 >>> 台南市安定區港尾里港子尾16-19號
62170 >>> 台南市安定區蘇林里18之1號
62173 >>> 高雄市前金區成功一路266-1號B2
62175 >>> 高雄市前金區中華三路29-1號
62180 >>> 高雄市苓雅區苓雅二路40號
62184 >>> 高雄市新興區南台路128號1樓
62196 >>> 高雄市前鎮區二聖二路127號
62232 >>> 高雄市三民區鼎貴路200-3號
62239 >>> 高雄市大寮區光明路三段272號
62250 >>> 高雄市苓雅區建國一路169-1號1樓
62271 >>> 高雄市前鎮區鎮中路240巷10號
62272 >>> 高雄市苓雅區文橫二路88之6號1樓
62273 >>> 高雄市左營區崇德路418號
62276 >>> 高雄市前鎮區管仲路51號
62278 >>> 高雄市前鎮區瑞隆路534號
62281 >>> 高雄市苓雅區凱旋三路855號
62289 >>> 高雄市前鎮區鎮東三街50號
62295 >>> 高雄市仁武區霞海東二街18號1樓
62298 >>> 高雄市大仁武區澄觀路1641號
62302 >>> 高雄市鳳山區協和里五權南路163號
62303 >>> 高雄市鳳山區崗山北街100號
62306 >>> 高雄市大樹區九曲路5巷29號
62315 >>> 高雄市鳳山區五甲二路187號
62318 >>> 高雄市旗山區大仁街5號
62352 >>> 高雄市阿蓮區忠孝路269-3號
62376 >>> 高雄市左營區文學路292號
62379 >>> 高雄市岡山區平和路157號
62392 >>> 高雄市岡山區民有路71號
62393 >>> 高雄市岡山區柳橋東路11號
62395 >>> 高雄市岡山區大仁路87號
62398 >>> 高雄市岡山區平和路150號
62405 >>> 高雄市左營區自由三路296號
62443 >>> 高雄市鳥松區忠孝路10號
62446 >>> 高雄市鳳山區三民路216號
62451 >>> 高雄市三民區建元路3號
62455 >>> 高雄市橋頭區中崎路關聖巷2弄17號1樓
62459 >>> 高雄市美濃區合和路13號
62464 >>> 高雄市六龜區和平路251-5號
62474 >>> 高雄市湖內區中山路一段321號
62479 >>> 高雄市大寮區鳳林三路71號
62483 >>> 台南市玉井區中山路258號
62488 >>> 高雄市苓雅區中山二路412號5樓之4
62490 >>> 屏東縣潮州鎮育英路70號
62495 >>> 南投縣竹山鎮五寮巷2號
62508 >>> 高雄市鳳山區經武路26-2號
62522 >>> 高雄市桃源區寶山巷19-11號
62523 >>> 高雄市桃源區寶山巷19-7號
60720 >>> 台北市北投區雙全街48巷1號1樓
61912 >>> 台南市東區裕農路845號
62204 >>> 高雄市小港區二苓路262號
