編號	地址
59629 >>> 台南市新市區仁愛街154號1樓
59631 >>> 台南市官田區勝利路101號
59636 >>> 台南市安定區安加里安定159-14 號
59637 >>> 台南市東山區三榮里許秀才18之2號1樓
59638 >>> 台南市新營區太子宮142-60號
59641 >>> 台南市六甲區龜港里龜子港92號
59643 >>> 台南市西港區竹林里129之4號1樓
59644 >>> 台南市麻豆區中正路53-8號
59646 >>> 台南市白河區河東里糞箕湖83之2號
59658 >>> 台南市楠西區東勢里民生路33號
59659 >>> 雲林縣虎尾鎮光復路16之1號
59664 >>> 台南市六甲區民生街83號
59671 >>> 台南市西港區永樂里大寮1號
59675 >>> 台南市善化區什乃里136-2號
59676 >>> 台南市安南區台江大道356號
59677 >>> 台南市佳里區義民街144號
59679 >>> 台南市新化區大新路13號
59680 >>> 台南市南區鹽埕路112號
59681 >>> 台南市佳里區延平路338號
59683 >>> 高雄市茄萣區茄萣路二段464號
59686 >>> 台南市關廟區南雄路一段507號
59687 >>> 台南市安定區大同里大同89-19號
59688 >>> 高雄市阿蓮區崙頂80號
59691 >>> 台南市關廟區南雄路二段86號
59693 >>> 台南市關廟區忠孝街178號
59697 >>> 台南市歸仁區民族街99之5號
59698 >>> 高雄市茄萣區港東街91號
59704 >>> 台南市永康區大灣路59-2號
59718 >>> 台南市鹽水區三福路121號
59720 >>> 台南市柳營區神農里果毅後356之1號1樓
59730 >>> 台南市北門區蚵寮保吉里364-11號
59732 >>> 台南市西港區營西里後營1之14號
59738 >>> 台南市安定區港口里292之5號
59739 >>> 台南市白河區河東里糞箕湖25號
59742 >>> 台南市白河區中山路197號
59746 >>> 台南市新營區開元路73號
59747 >>> 台南市新營區復興路39號
59749 >>> 台南市麻豆區南勢里關帝廟72號
59750 >>> 嘉義縣中埔鄉中華路
59753 >>> 台南市東山區東中里東山市場9號
59760 >>> 台南市新營區太子宮152-11號
59765 >>> 台南市新營區東興八街40號
59768 >>> 嘉義縣番路鄉下坑村菜公店1―30號
59769 >>> 嘉義縣中埔鄉中華路443號
59778 >>> 台南市善化區光復路868號
59779 >>> 台南市永康區中山南路994號
59787 >>> 台南市下營區中山路一段18號
59788 >>> 台南市佳里區興禮化社區225-3號
59794 >>> 台南市麻豆區平等路2-5號
59796 >>> 台南市鹽水區新中路102巷84號
59797 >>> 台南市佳里區新生路97號
59799 >>> 台南市學甲區三民路13號1樓
59800 >>> 台南市西港區溪埔寮39-11號
59802 >>> 台南市永康區大安街153號
59803 >>> 台南市安南區海佃路二段405號
59804 >>> 台南市中西區民權路一段112號前
59805 >>> 高雄市湖內區和平路150號
59806 >>> 台南市安南區府安路六段71巷6號
59807 >>> 高雄市湖內區中正路二段643號
59809 >>> 高雄市鳳山區三民路261號
59810 >>> 高雄市橋頭區仕豐路101號
59813 >>> 台南市學甲區中洲里46號之2
59814 >>> 台南市佳里區中山路58號
59815 >>> 台南市鹽水區歡雅里歡雅106號之4
59816 >>> 台南市學甲區濟生路249號
59817 >>> 台南市七股區玉成里玉成3之8號
59818 >>> 台南市學甲區中山路198-3號
59820 >>> 台南市佳里區義民街116號
59822 >>> 台南市北門區雙春里雙春30之7號1樓
59823 >>> 台南市七股區永吉里永吉51之52號
59824 >>> 台南市安南區安中路六段604號
59826 >>> 台南市安定區六嘉里1號
59827 >>> 台南市北區公園路686號
59830 >>> 台南市安南區安中路六段589號1樓
59835 >>> 台南市東山區東正里東勢148-9號
59836 >>> 高雄市鹽水區岸內里蔦松腳11號之5
59837 >>> 嘉義縣鹿草鄉西井村鹿草路265號
59839 >>> 嘉義縣水上鄉三鎮村南靖車站72號
59844 >>> 嘉義縣鹿草鄉西井村673號
59849 >>> 嘉義縣水上鄉忠和村紅毛寮1號之34 
59851 >>> 嘉義市西區中興路819號
59855 >>> 嘉義縣太保市後潭里後潭340號
59861 >>> 嘉義縣太保市北新里中山路794號
59884 >>> 嘉義市西區北興街362-2號
59886 >>> 嘉義縣六腳鄉蒜頭村188-6號
59889 >>> 嘉義市西區林森西路284號1樓
59892 >>> 嘉義縣民雄鄉興南村頭橋557之22號1樓
59893 >>> 嘉義縣民雄鄉秀林村溪底寮1之6號
59894 >>> 嘉義縣民雄鄉福樂村埤角73號
59903 >>> 嘉義縣朴子市大葛里大槺榔154之23號
59907 >>> 嘉義縣六腳鄉蘇厝村1-12號 
59912 >>> 嘉義縣民雄鄉牛稠溪福興村1-73號
59921 >>> 嘉義縣朴子市文化路20號
59922 >>> 嘉義縣鹿草鄉鹿草村20鄰463號
59925 >>> 嘉義市西區育人路778巷15弄6號
59930 >>> 嘉義縣朴子市大葛里大槺榔154之46號
59938 >>> 台南市新市區大社里大社278之3號
59943 >>> 高雄市前金區文武二街172號
59947 >>> 高雄市新興區中山一路52號
59948 >>> 高雄市苓雅區中興街2-8號
59958 >>> 高雄市苓雅區苓雅二路87號
59976 >>> 高雄市苓雅區青年二路206號
59978 >>> 高雄市三民區山東街79號
59987 >>> 高雄市新興區黃海街48號
59989 >>> 高雄市三民區覺民路800-1號
59991 >>> 高雄市前鎮區明鳳二十街79號
59997 >>> 高雄市前鎮區精忠街133巷9號
60004 >>> 高雄市新興區尚智街22號
60005 >>> 嘉義縣水上鄉中義路710號
60011 >>> 高雄市三民區喜峰街151號
60033 >>> 高雄市鳳山區光遠路30號
60039 >>> 高雄市三民區自立一路312號
60040 >>> 高雄市三民區建國三路312號
60041 >>> 高雄市鳳山區三民路214號
60042 >>> 高雄市鳳山區三民路75號
60043 >>> 高雄市鳳山區建國路二段192巷27號
60045 >>> 高雄市鳳山區三民路251號
60047 >>> 高雄市小港區孔鳳路345號
60048 >>> 高雄市三民區灣興街44號
60051 >>> 屏東縣東港鎮下廍路152之9-1號
60052 >>> 台南市安南區長溪路一段368號1樓
60083 >>> 高雄市三民區民族一路463號1樓
60090 >>> 高雄市大寮區鳳林二路581號
60096 >>> 高雄市三民區義永路68巷2號
60134 >>> 高雄市三民區宣化街31號
60136 >>> 高雄市三民區建國三路126號
60137 >>> 高雄市三民區中都街38號
60140 >>> 高雄市三民區鼎山街685號
60141 >>> 高雄市鳳山區三民路141號
60142 >>> 高雄市三民區正忠路449號
60144 >>> 高雄市鹽埕區建國四路389號
60150 >>> 高雄市仁武區仁慈路87號
60157 >>> 高雄市鹽埕區必忠街65號
60159 >>> 高雄市鳳山區光遠路287號
