 編號		店家名稱
14980 >>> 麻豆區興中路31號
14981 >>> 新營區長春街20號
14982 >>> 台南市下營區
14983 >>> 台南市善化區
14984 >>> 佳里區中山路378號
14985 >>> 嘉義縣布袋鎮
14987 >>> 新營區民權路23號
14988 >>> 新營區長春街12號
14989 >>> 白河區市場3巷2號
14992 >>> 白河區市場1巷9號
14993 >>> 新營區長春街28號
14994 >>> 岡山區平和路119號
14995 >>> 阿蓮區中正路580號
14997 >>> 阿蓮區中山路30巷42號
14998 >>> 旗山區中山路44號
15001 >>> 阿蓮區中正路525號
15002 >>> 美濃區中正路一段28號
15004 >>> 下營區中正北路3號
15005 >>> 岡山區平和路77號
15007 >>> 台南市佳里區
15013 >>> 三民區熱河一街377號
15017 >>> 台南市永康區
15019 >>> 白河區市場2巷14號
15020 >>> 東山區中興路50號
15021 >>> 新營區延平路142-46號
15024 >>> 永康區大灣路816號
15025 >>> 新營區長春街17號
15027 >>> 新營區長春街2號
15028 >>> 麻豆區興中路29號
15031 >>> 白河區中山路1-62號
15034 >>> 新營區長春街2號
15038 >>> 將軍區將貴里將貴62號之50
15039 >>> 嘉義縣水上鄉中庄村62-3號
15040 >>> 嘉義縣義竹鄉六桂村義竹164號之1
15041 >>> 台南市下營區
15044 >>> 白河區中山路58號
15047 >>> 嘉義縣義竹鄉163縣道171號
15048 >>> 台南市安南區
15052 >>> 鳳山區成功路65號
15053 >>> 鹽埕區新樂街179號
15055 >>> 新營區成功街41號
15058 >>> 旗山區中山路189號
15061 >>> 台南市安南區
15062 >>> 台南市永康區
15087 >>> 嘉義市西區
15117 >>> 嘉義縣民雄鄉興南村頭橋66號
15119 >>> 嘉義縣朴子市嘉義縣朴子市第一市場十六號
15120 >>> 嘉義縣六腳鄉116號
15125 >>> 嘉義縣民雄鄉頭橋陸橋68號號
15132 >>> 左營區左營大路392號
15140 >>> 鳳山區成功路60號
15142 >>> 苓雅區苓雅二路171號
15158 >>> 嘉義市西區
15165 >>> 鼓山區九如四路1440巷38號
15177 >>> 鼓山區鼓元街67號
15178 >>> No. 113號, No. 803, Dayong Street, 鹽埕區高雄市
15182 >>> No. 151 No. 803, 七賢三路鹽埕區高雄市803
15191 >>> 鹽埕區新樂街167號
15200 >>> 鹽埕區七賢三路144號
15201 >>> 鹽埕區新樂街195號
15202 >>> 鹽埕區新樂街163號
15205 >>> 三民區遼寧二街203號
15206 >>> 鹽埕區新樂街171號
15207 >>> 鹽埕區新樂街154號
15209 >>> 鹽埕區新樂街183號
15210 >>> 鹽埕區新樂街201號
15214 >>> 鹽埕區新樂街178號
15215 >>> 鹽埕區瀨南街174號
15217 >>> 鹽埕區新樂街188號
15219 >>> 三民區嫩江街75號
15220 >>> 鹽埕區五福四路75號
15227 >>> 新興區尚文街31號
15229 >>> 新興區仁智街261號
15238 >>> 新興區中山橫路17號
15239 >>> 新興區渤海街31號
15240 >>> 新興區球庭路93號
15242 >>> 新興區大同一路146號
15243 >>> 新興區黃海街50號
15244 >>> 新興區南台路71號
15247 >>> 苓雅區苓雅一路290號
15275 >>> 三民區三民街151號
15279 >>> 苓雅區文橫二路31巷40號
15286 >>> 苓雅區廣州二街103號
15287 >>> 三民區三民街149號
15303 >>> 三民區嫩江街94號
15310 >>> 鹽埕區新樂街161號
15311 >>> 鹽埕區瀨南街159號
15313 >>> 苓雅區苓雅市場巷
15314 >>> 三民區自強一路214號
15315 >>> 三民區三民街134號
15324 >>> 苓雅區廣州二街120號
15335 >>> 苓雅區漢昌街68號
15336 >>> 苓雅區泰順街68號
15337 >>> 苓雅區文山路89號
15342 >>> 三民區三鳳中街26號
15350 >>> 三民區熱河一街353號
15351 >>> 前鎮區瑞和街213號
15352 >>> 前鎮區瑞隆路556號
15357 >>> 號 No, No. 18信義街鳳山區高雄市830
15362 >>> 三民區正豐街97號
15369 >>> 小港區小港路287號
15375 >>> 楠梓區後昌路247號
15380 >>> 楠梓區右昌街202號
15382 >>> 楠梓區後昌路789號
15383 >>> 楠梓區聖雲街110巷12號
15384 >>> 楠梓區楠都西巷135號
15385 >>> 楠梓區聖雲街110巷4號
15386 >>> 楠梓區楠梓新路190巷7號
15391 >>> 楠梓區楠梓東街90號
15410 >>> 三民區新民路167號
15412 >>> 三民區建興路257號
15415 >>> 三民區新民路138號
15428 >>> 岡山區開元街26號
15429 >>> 梓官區梓官路309號
15432 >>> 橋頭區隆豐路197號
15435 >>> 路竹區忠孝路12號
15438 >>> 前鎮區瑞和街153號
15440 >>> 高雄市前鎮區
15445 >>> 鳳山區成功路54號
15448 >>> 鳳山區中山路24號
15459 >>> 三民區熱河一街379號
15461 >>> 三民區復興一路159巷52號
15463 >>> 鳳山區中正路123號
15464 >>> 鳳山區光遠路193號
15465 >>> 鳳山區成功路78號
15466 >>> 高雄市鳳山區
15467 >>> 鳳山區成功路74號
15471 >>> 大社區三民路310號
15472 >>> 高雄市三民區
15473 >>> 鳳山區中山路92號
15474 >>> 鳳山區中山路98號
15475 >>> 鳳山區光遠路209號
15487 >>> 高雄市大社區
15492 >>> 彌陀區中正路176號
15494 >>> 茄萣區茄萣路二段97號
15495 >>> 高雄市湖內區
15496 >>> 高雄市路竹區
15497 >>> 高雄市橋頭區
15502 >>> 鳳山區成功路36號
15503 >>> 鳳山區成功路44號
15505 >>> 號, No. 112立志街鳳山區高雄市830
15517 >>> 大寮區鳳林三路412號
15528 >>> 高雄市林園區
15529 >>> 高雄市林園區
15539 >>> 高雄市小港區
15540 >>> 高雄市鳳山區
15553 >>> 高雄市小港區
15564 >>> 高雄市鳳山區
15566 >>> 鳳山區成功路55號
15570 >>> 號, No. 1-15華盛街屏東市屏東縣900
