 編號		店家名稱
22036 >>> 彰化銀行ATM(李綜合醫院)
22052 >>> 上海銀行ATM(中信證券)
22057 >>> 台企ATM(豐原分行)
22102 >>> 大眾銀行ATM(豐原簡易型分行)
22107 >>> 台中銀行ATM(東豐原分行)
22110 >>> 台中銀行ATM(南陽分行)
22117 >>> 台中銀行ATM(豐原分行)
22120 >>> 三信銀行ATM(豐原分行)
22159 >>> 三信銀行ATM(市前分行)
22160 >>> 三信銀行ATM(豐樂分行)
22161 >>> 安泰銀行ATM(豐原分行)
22212 >>> 台中銀行ATM(東勢分行)
22231 >>> 台中銀行ATM(大甲分行)
22255 >>> 台新銀行ATM(全家龍井火力店)
22292 >>> 台中銀行ATM(彰化分行)
22287 >>> 台中銀行ATM(伸港分行)
22310 >>> 台企ATM(和美分行)
22321 >>> 安泰銀行ATM(元富證券)
22330 >>> 台新銀行ATM(全家大雅廣福店)
22335 >>> 台新銀行ATM(全家大雅好雅店)
22354 >>> 彰化銀行ATM(義大醫院)
22355 >>> 台企ATM(台東分行)
22360 >>> 彰化銀行ATM(大雅分行)
22388 >>> 元大銀行ATM(元大寶來證券沙鹿分公司)
22403 >>> 元大商業銀行ATM(沙鹿分行)
22411 >>> 安泰銀行ATM(沙鹿分行)
22418 >>> 台中銀行ATM(清水分行)
22452 >>> 台灣銀行ATM(台中港酒店)
22461 >>> 台中銀行ATM(鹿港分行)
22469 >>> 第一銀行ATM(大甲分行)
22470 >>> 元大銀行ATM(大甲分行)
22512 >>> 台中銀行ATM(苑裡分行)
22563 >>> 台中銀行ATM(草屯分行)
22564 >>> 台中銀行ATM(埔心分行)
22565 >>> 台中銀行ATM(永靖分行)
22566 >>> 台中銀行ATM(北斗分行)
22572 >>> 第一銀行ATM(台南分行)
22581 >>> 台企ATM(台南分行)
22597 >>> 上海銀行ATM(台南分行)
22613 >>> 第一銀行ATM(赤崁分行)
22627 >>> 北富銀ATM(安平分行)
22637 >>> 元大銀行ATM(台南分行)
22658 >>> 台企ATM(成功分行)
22676 >>> 上海銀行ATM(台南分行)
22712 >>> 彰化銀行ATM(台南應用科大圖書館)
22720 >>> 台灣銀行ATM(新營分行)
22853 >>> 第一銀行ATM(路竹分行)
22897 >>> 台企ATM(東台南分行)
22911 >>> 安泰銀行ATM(台南分行)
22933 >>> 京城銀行ATM(東台南分行)
22969 >>> 台新銀行ATM(凱基證券凱基證券)
22981 >>> 第一銀行ATM(佳里分行)
23242 >>> 元大銀行ATM(元大寶來證券永康分公司)
23246 >>> 萬泰銀行ATM(永康分行)
23267 >>> 元大銀行ATM(永康分行)
23269 >>> 彰化銀行ATM(永康分行)
23303 >>> 第一銀行ATM(歸仁分行)
23353 >>> 台企ATM(仁德分行)
23455 >>> 第一銀行ATM(善化分行)
23458 >>> 台企ATM(善化分行)
23463 >>> 日盛銀行ATM(新營分行)
23525 >>> 日盛銀行ATM(屏東分行)
23533 >>> 臺灣銀行ATM(左營分行)
23590 >>> 台企ATM(學甲分行)
23617 >>> 第一銀行ATM(新營分行)
23656 >>> 臺灣銀行ATM(楠梓分行無人銀行)
23696 >>> 元大銀行ATM(佳里分行)
23728 >>> 第一銀行ATM(鹽水分行)
23787 >>> 聯邦銀行ATM(東隆五金工業股份有限公司)
23796 >>> 台企ATM(新營分行)
23804 >>> 第一銀行ATM(興嘉分行)
23807 >>> 第一銀行ATM(朴子分行)
23828 >>> 台企ATM(南嘉義分行)
23835 >>> 台企ATM(嘉義分行)
23854 >>> 板信銀行ATM(嘉義火車站)
23884 >>> 北富銀ATM(高雄分行)
23888 >>> 安泰銀行ATM(高雄分行)
23890 >>> 遠東商銀ATM(中正分行)
23908 >>> 台灣銀行ATM(新興分行)
23913 >>> 彰化銀行ATM(新興分行)
23917 >>> 台企ATM(北高雄分行)
23932 >>> 台企ATM(三民分行)
23941 >>> 彰化銀行ATM(電信局七賢局)
23950 >>> 花旗銀行ATM(苓雅分行)
23954 >>> 日盛銀行ATM(苓雅分行)
23955 >>> 花旗銀行 ATM (港都分行)
23965 >>> 萬泰銀行ATM(高雄分行)
23972 >>> 日盛銀行ATM(前金分行)
23987 >>> 台企ATM(苓雅分行)
24002 >>> 第一銀行ATM(十全分行)
24032 >>> 台中銀行ATM(鳳山分行)
24014 >>> 臺灣銀行ATM(中華電信高雄營運處)
24018 >>> 台灣銀行ATM(三民分行)
24098 >>> 大眾銀行ATM(群益證券瑞豐分公司)
24100 >>> 第一銀行ATM(苓雅分行)
24104 >>> 彰化銀行ATM(大統百貨公司)
24106 >>> 元大銀行ATM(元大寶來證券四維分公司)
24132 >>> 安泰銀行ATM(前金分行)
24146 >>> 萬泰銀行ATM(中正分行)
24191 >>> 台企ATM(前鎮分行)
24273 >>> 大眾銀行ATM(台塑仁武廠)
24323 >>> 第一銀行ATM(小港分行)
24330 >>> 上海銀行ATM(北高雄分行)
24335 >>> 第一銀行ATM(鹽埕分行)
24372 >>> 第一銀行ATM(三民分行)
24427 >>> 台企ATM(大昌分行)
24431 >>> 元大商業銀行ATM(三民分行)
24437 >>> 台新銀行ATM(三民分行)
24446 >>> 台企ATM(九如分行)
24478 >>> 台灣銀行ATM(大昌分行無人銀行)
24512 >>> 陽信銀行ATM(美奇萊影城)
24530 >>> 元大銀行ATM(元大寶來證券東泰分公司)
24536 >>> 三信銀行ATM(高雄分行)
24563 >>> 元大銀行ATM(高雄中山國中)
24569 >>> 合作金庫ATM(小港分行)
24582 >>> 台企ATM(鳳山分行)
24591 >>> 第一銀行ATM(旗山分行)
24654 >>> 安泰銀行ATM(北高雄)
24656 >>> 台企ATM(博愛分行)
24719 >>> 元大銀行ATM(元大寶來證券莒光分公司)
24759 >>> 台企ATM(仁大分行)
24769 >>> 萬泰銀行ATM(中國人纖公司)
24863 >>> 台企ATM(高雄分行)
24905 >>> 台灣銀行ATM(鳳山分行內營業廳)
24950 >>> 台企ATM(岡山分行)
24993 >>> 第一銀行ATM(岡山分行)
25083 >>> 台灣銀行ATM(高榮分行)
25139 >>> 國泰世華銀行ATM(萊爾富超商-高市高梓店)
25192 >>> 彰化銀行ATM(旗山分行)
25330 >>> 安泰銀行ATM(鳳山分行)
25335 >>> 台企ATM(北鳳山分行)
25384 >>> 國泰世華銀行ATM(萊爾富超商-高縣高庄店)
25401 >>> 台新銀行ATM(全家便利商店大發仁愛店)
25420 >>> 農會銀行ATM(新惠宮)
25479 >>> 合作金庫ATM(美濃分行)
25484 >>> 元大銀行ATM(屏東分行)
25536 >>> 合作金庫ATM(大樹分行)
16123 >>> 台企ATM(南三重分行)
20880 >>> 上海銀行ATM(大里分行)
21559 >>> 台企ATM(北屯分行)
22756 >>> 台企ATM(安平分行)
23113 >>> 北富銀ATM(永康分行)
23114 >>> 安泰銀行ATM(永康分行)
