編號		地址
41442 >>> 台中市南屯區永春東路148號
40392 >>> 新北市中和區景德街7號、9號
40848 >>> 基隆市安樂區麥金路201號B1之2、之3、之5
42380 >>> 高雄市前金區旺盛街166號
42702 >>> 屏東縣內埔鄉昭勝路410、412號
39703 >>> 台北市士林區中山北路七段154巷6號
41802 >>> 台南市東區崇德路154-156號
41574 >>> 台中市大里區爽文路879號
40283 >>> 新北市八里區中山路一段109號
40423 >>> 新北市永和區中和路489號B1
40092 >>> 新北市永和區中正路742號
40090 >>> 新北市永和區福和路67、69號
40439 >>> 新北市永和區成功路二段56號B1
40435 >>> 新北市永和區中正路247號249號
40272 >>> 新北市永和區竹林路73-1號
40320 >>> 新北市永和區竹林路182號
40091 >>> 新北市永和區福和路353號
41970 >>> 台南市永康區永華路176號
41986 >>> 台南市永康區永大路三段35號
41961 >>> 台南市永康區中山南路451號
41866 >>> 台南市永康區中山南路63號
42009 >>> 台南市永康區中華路735、737、739號
41873 >>> 台南市永康區中華路575號
41841 >>> 台南市永康區中山南路282-5、282-6號
42012 >>> 台南市永康區崑山街1號
41877 >>> 台南市永康區大橋二街218號
41974 >>> 台南市永康區富強路１段108號
42035 >>> 台南市永康區復國一路5號
41898 >>> 台南市永康區永大路二段936號
40758 >>> 新北市蘆洲區永樂街38巷57弄2號
42754 >>> 雲林縣古坑鄉文淵路162號
39589 >>> 台北市大同區南京西路165號
41861 >>> 台南市東區裕農路400、406號
40200 >>> 新北市板橋區雨農路27巷2號
40170 >>> 新北市板橋區文聖街73號
39848 >>> 台北市文山區木柵路一段177號
39944 >>> 台北市文山區羅斯福路五段170巷41號
39950 >>> 台北市文山區興隆路四段143號
39965 >>> 台北市文山區忠順街二段22號
39790 >>> 台北市文山區興隆路一段53號
39954 >>> 台北市文山區興隆路二段252號
39953 >>> 台北市文山區景興路191號B1
39951 >>> 台北市文山區羅斯福路六段218號B1
39955 >>> 台北市文山區羅斯福路六段142巷11號
39952 >>> 台北市文山區福興路62號
39947 >>> 台北市文山區木柵路三段41號
39956 >>> 台北市文山區保儀路12號
39742 >>> 台北市萬華區萬大路406號
39543 >>> 台北市萬華區興寧街2號1.2樓
39744 >>> 台北市萬華區民和街103號
42787 >>> 屏東縣萬丹鄉大順路56號
42791 >>> 屏東縣萬丹鄉大憲街210號
41766 >>> 台中市外埔區六分路297號
41348 >>> 台中市霧峰區中正路1119號
41337 >>> 台中市霧峰區民生路75號
41257 >>> 台中市北區五權路176號
40118 >>> 新北市五股區成泰路三段379、381號
40747 >>> 新北市五股區工商路112號
40746 >>> 新北市五股區成泰路一段235-13號
41716 >>> 台中市梧棲區文昌路501號
41713 >>> 台中市梧棲區文化路二段85號
41714 >>> 台中市梧棲區中華路二段610號
42182 >>> 嘉義市東區吳鳳南路529號
41389 >>> 台中市烏日區長春街429號
40547 >>> 新北市鶯歌區建國路85號1樓之6
40913 >>> 桃園市楊梅區瑞溪路二段161號
