 編號		店家名稱
50222 >>> 四平街愛神
50223 >>> 台北真武宮
50226 >>> 台北市圓通功德協會
50227 >>> 泰藝坊
50228 >>> 中華佛教青年會 CYBA
50229 >>> 公館庄武身開漳聖王廟
50230 >>> 元亨寺臺北講堂
50232 >>> 艋舺協天宮
50233 >>> 石觀音祥光寺
50234 >>> 山佳觀音廟
50235 >>> 凌雲禪寺
50236 >>> 德安廟旁
50237 >>> 鄞山寺(汀州會館)
50238 >>> 三玉宮
50239 >>> 北投區慈生宮
50240 >>> 新莊武聖廟
50241 >>> 興隆寺
50242 >>> 八里安福宮
50244 >>> 礁溪協天廟
50245 >>> 行修宮
50246 >>> 桃園龍德宮
50247 >>> 艋舺集義宮
50248 >>> 廣照宮
50249 >>> 台北湄聖宮
50250 >>> 楊聖廟
50251 >>> 北天宮
50252 >>> 北安宮
50253 >>> 真武殿
50254 >>> 九星乙玄堂
50255 >>> 臺北東隆宮(第四東隆宮)
50256 >>> 聖慈宮
50257 >>> 萬華保安宮
50259 >>> 環河福德宮
50260 >>> 興德宮
50261 >>> 天竹殿
50262 >>> 東南宮
50263 >>> 料館啟天宮天上聖母紅船媽
50264 >>> 新約龍華佛教聖國山保安堂
50266 >>> 蓮宗精舍
50267 >>> 慈航宮
50268 >>> 聖德宮
50271 >>> 青龍宮
50272 >>> 艋舺五福宮
50274 >>> 萬華迦蚋地藏庵
50275 >>> 清蓮宮
50276 >>> 艋舺 普崴宮
50278 >>> 艋舺龍津宮
50279 >>> 台北心道宮
50280 >>> 三條路福德宮
50281 >>> 學海書院
50282 >>> 萬華迦納四面佛
50283 >>> 艋舺福德府
50284 >>> 朝天宮
50285 >>> 松山北極殿
50286 >>> 白雲禪寺
50287 >>> 大安車層景福宮
50288 >>> 薩迦文殊佛學會
50289 >>> 士林圓明寺
50290 >>> 竹月寺
50291 >>> 台北南天宮五府千歲
50292 >>> 明山寺
50293 >>> 南港新福宮
50295 >>> 明德宮
50296 >>> 聖媽天月宮
50297 >>> 石泉巖
50298 >>> 廣承岩寺
50299 >>> 瑤池宮
50300 >>> 梘頭福德祠
50302 >>> 中和玉皇宮天公廟
50305 >>> 板橋慈惠宮
50306 >>> 台北大安慈湄宮
50307 >>> 台北東門善化堂（太子廟）
50308 >>> 福興宮
50309 >>> 白靈公廟
50310 >>> 一心佛堂
50312 >>> 慶德宮
50313 >>> 清水宮
50315 >>> 福州山萬善堂
50316 >>> 台北古亭五府宮
50318 >>> 配興堂
50319 >>> 石泉巖【清水祖師廟】
50320 >>> 靈德寺
50321 >>> 台北大安濟隱宮
50322 >>> 仁慈宮
50325 >>> 法鼓山安和分院
50326 >>> 中華民國無量壽佛學會
50327 >>> 華藏淨宗學會
50330 >>> 新北市中和區圓通禪寺
50331 >>> 佛首舍四面佛
50332 >>> 信義受天宮
50333 >>> 中和禪寺
50334 >>> 白馬寺
50335 >>> 千霞山海明禪寺
50336 >>> 福德宮
50338 >>> 妙覺禪寺
50339 >>> 木柵福徳宮
50340 >>> 千佛山白雲禪寺
50341 >>> 樟山寺
50343 >>> 集順廟
50344 >>> 善息堂暨善息寺
50345 >>> 章嘉活佛舍利塔塔蹟
50346 >>> 太平宮
50347 >>> 光明禪寺
50348 >>> 大墓公廟
50349 >>> 新店白玉寧瑪中心
50350 >>> 大安廟
50351 >>> 土城五穀先帝廟
50352 >>> 樹林勝安宫天上王母娘娘
50354 >>> 吳氏宗祠
50356 >>> 照光寺
50357 >>> 華藏寺
50359 >>> 竹圍福海宮輔信王公
50360 >>> 中台禪寺
50361 >>> 士林街福德宮
50362 >>> 啟明佛寺
50364 >>> 妙法寺
50365 >>> 坤天亭
50366 >>> 噶瑪噶居寺台北祖菩道場
50369 >>> 吉祥寺
50370 >>> 清涼山慈雲寺
50372 >>> 有應公媽廟
50373 >>> 金鶴宮
50375 >>> 陽明山平等里燄網寺
50376 >>> 武聖宮
50377 >>> 士林聖天宮
50378 >>> 南海法門寺
50379 >>> 社子順天府
50380 >>> 台北佛立寺
50381 >>> 共和宮
50382 >>> 社子社福宮
50383 >>> 公館里關聖帝君廟
50385 >>> 福安里【萬善堂】
50386 >>> 無極天聖殿
50388 >>> 高野山真言宗 金輪寺
50389 >>> 鎮安宮
50393 >>> 興安宮
50394 >>> 大墓公【萬善堂】
50395 >>> 福星宮
50396 >>> 永平(三角埔)福德宮
50398 >>> 海光宮
50400 >>> 福裕宮
50401 >>> 九龍宮
50402 >>> 承德福德宮
50404 >>> 士林福壽宮
50405 >>> 指福宮
50406 >>> 公正橋東安宮
50407 >>> 士林正安宮(齊天大聖）
50408 >>> 德和宮
50409 >>> 福地宮
50410 >>> 中華藏密噶瑪巴協會（台北噶瑪噶舉法輪中心）
50411 >>> 北投觀音禪院
50412 >>> 北投正覺寺
50413 >>> 財團法人台北市中和堂
50414 >>> 北投集福宮
50415 >>> 台北地藏禪寺
50416 >>> 祖師禪林
50417 >>> 至妙寺
50418 >>> 鐘鼓峒
50419 >>> 三合祠
50420 >>> 北投慈惠堂
50421 >>> 福慶宮
50422 >>> 水磨 福德宮
50423 >>> 十八份福德宮
50426 >>> 汾陽宮
50427 >>> 三合萬壽祠
50428 >>> 忠義福慈宮
50429 >>> 水汴頭福德宮
50430 >>> 桃源福德宮
50433 >>> 青聖宮
50434 >>> 崇德堂
50436 >>> 順興宮
50437 >>> 福主宮
50438 >>> 三王宮
50440 >>> 關渡宮觀音殿
50441 >>> 福德祠
50443 >>> 覺風佛教藝術學院
50444 >>> 關渡玉女宮
50445 >>> 玉聖慈惠堂
50446 >>> 洲美屈原宮
50447 >>> 普陀講堂
50448 >>> 千佛堂
50449 >>> 西雲禪寺
50450 >>> 寶勝宮
50451 >>> 金碧宮
50452 >>> 內湖慈雲宮
50453 >>> 內湖無極金鳳寺
50454 >>> 新坡尾福德廟
50455 >>> 誠誌堂
50456 >>> 延平宮
50458 >>> 黃石公廟
50459 >>> 福樹宮
50460 >>> 內湖無極乾坤宮
50461 >>> 護安宮
50462 >>> 金龍福德宮
50463 >>> 吳厝福德正神
50464 >>> 內湖科學園區土地公廟
50465 >>> 玄明宮
50466 >>> 洲子里福德廟
50467 >>> 福德祠
50468 >>> 灣仔庄福德堂
50470 >>> 台北內湖明聖宮/太平媽祖
50471 >>> 碧佑宮
50472 >>> 福德廟
50473 >>> 內湖聖嘉宮
50474 >>> 洲尾庄興安宮
50475 >>> 台北市 內溝 聖善堂
50477 >>> 聖觀精舍
50478 >>> 里族庄宗福廟 (土地公廟)
50479 >>> 三教山清靈宮
50480 >>> 東湖福生宮
50481 >>> 東湖慈玄宮
50482 >>> 福祿宮
50483 >>> 東湖 北天宮
50484 >>> 安泰福德宮
50486 >>> 武濟宮
50487 >>> 興善宮
50488 >>> 仙童廟
50489 >>> 三長廟
50490 >>> 大廣禪寺
50491 >>> 華嚴聖因精舍
50492 >>> 南天宮
50493 >>> 三張犁福佑宮
50494 >>> 慈天宮
50495 >>> 台北港口奉聖宮
50496 >>> 淨宗寺(中華淨土宗協會)
50497 >>> 六張犁福德宮
50498 >>> 全真東華觀
50499 >>> 台北北和宮 - 北極玄天上帝
50500 >>> 壽天宮
50501 >>> 東興宮
50502 >>> 朝玄宮
50503 >>> 六合里福犁宮
50504 >>> 田公廟
50505 >>> 翠華宮
50506 >>> 糶米公廟
50508 >>> 聖安堂
50509 >>> 九五茅篷
50510 >>> 南文宮
50511 >>> 基隆楞嚴寺
50512 >>> 台北賢遍佛學會
50513 >>> 中華民國佛教菩提願學佛會
50516 >>> 明龍宮
50517 >>> 福德正神
50518 >>> 鎮安宮
50520 >>> 坤元宮
50521 >>> 凌雲寺
50522 >>> 西靈巖寺
50523 >>> 南山寺 | 仙公廟
50525 >>> 獅球嶺平安宮
50526 >>> 竹蓮寺
50528 >>> 慈光寺
50530 >>> 景美仙跡岩地藏王菩薩廟宇
50531 >>> 公館福德宮
50533 >>> 救千宮
50534 >>> 木柵聖恩宮
50535 >>> 景美順天宮
50536 >>> 文山福安宮
50537 >>> 溝子口福德宮
50538 >>> 木柵開天宮
50539 >>> 東福宮
50540 >>> 景美南聖堂
50541 >>> 台北瀅安宮
50542 >>> 景美萬慶岩清水祖師廟
50543 >>> 风动石圣公庙
50544 >>> 土地公(馬明潭福德宮)
50545 >>> 普照精舍
50546 >>> 台北市木柵石頭公落難神明廟
50548 >>> 景美十五份廣武宮
50549 >>> 忠正嶺安祿宮
50550 >>> 河濱福德宮
50551 >>> 佛光山大慈佛社
50552 >>> 福興宮
50553 >>> 指南宮 大雄寶殿
50554 >>> 景文慈惠堂
50555 >>> 台北木柵北后宮
50556 >>> 凌振宮
50557 >>> 應善壇
50558 >>> 文山頂公館福德宮
50561 >>> 天恩宮
50562 >>> 德芳堂
50563 >>> 萬福寺
50564 >>> 無極玉祖三清殿
50565 >>> 社團法人台北市木柵弘願念佛會
50566 >>> (原)新店 佛聖宮
50567 >>> 木柵清龍宮
50568 >>> 新店靈山媽祖廟-天上聖母
50569 >>> 新店竹雲寺-觀世音菩薩
50571 >>> 新逍遙園譯經院 大毘盧寺
50572 >>> 文山玄聖宮
50573 >>> 文山禪寺
50574 >>> 臨水法奶宮
50576 >>> 金玄宮
50577 >>> 臺北鎮北宮
50578 >>> 桃園蓮華寺觀音佛祖
50579 >>> 汐止天秀宮
50580 >>> 天元殿
50581 >>> 廖添丁廟 國曆12/10 農曆10/26 廖公聖誕 大駕賁臨拈香參拜
50582 >>> 南天宮
50583 >>> 蘆洲忠義廟
50584 >>> 關西潮音禪寺
50585 >>> 蓮花寺
50586 >>> 通淮宮關聖帝君
50587 >>> 法鼓山土城共修處
50589 >>> 後山埤福德爺廟
50590 >>> 興南宮
50591 >>> 玉成福壽宮
50592 >>> 中研福德宮
50593 >>> 台北太清宮
50594 >>> 南港信天宮
50596 >>> 南港聖母宮
50597 >>> 舊莊福德宮
50598 >>> 舊庄天后宮
50599 >>> 南港觀音寺
50600 >>> 五府千歲
50601 >>> 廣福宮
50602 >>> 萬福宮
50604 >>> 湧蓮禪寺
50605 >>> 顯應聖公
50606 >>> 土地公廟
50607 >>> 南港昭南宮
50608 >>> 西新福壽宮
50609 >>> 南港仙聖宮
50610 >>> 南港太子宮
50611 >>> 賜福宮
50612 >>> 北巡順天宮
50613 >>> 南港玉靈宮
50614 >>> 天極宮
50615 >>> 法界佛教印經會
50616 >>> 坑頭土地公
50618 >>> 琉璃世界 南無消災延壽藥師佛
50619 >>> 南港濟德宮
50620 >>> 終南洞三聖宮
50621 >>> 南港成福宮
50623 >>> 南港慈天宮
50624 >>> 福山巖顯應廟
50625 >>> 興南府（虎山池王爺）
50626 >>> 靈菩寺
50627 >>> 慈玄宮
50628 >>> 無極明聖宮
50630 >>> 雲天宮
50631 >>> 南天宮
50632 >>> 淨土宗台北弘願念佛會
50633 >>> 聖興宮
50634 >>> 汐止拱北殿
50635 >>> 濟德宮
50636 >>> 聖德宮
50637 >>> 保長仙姑廟
50639 >>> 慈雲禪寺
