 編號		店家名稱
51593 >>> 三峽南濟宮玉禪寺
51594 >>> 三峽安坑觀音寺
51596 >>> 大勝寺
51599 >>> 五母山五鳳慈蓮寺
51601 >>> 準提寺
51604 >>> 黃尾娘 姑娘廟
51608 >>> 圓化寺
51611 >>> 一元宮
51612 >>> 大東山碧軒寺
51614 >>> 土地公廟(大旗尾福隆宮)
51620 >>> 三峽普禪寺化仙壇
51623 >>> 五寮外詩朗福德廟
51625 >>> 李山神宮
51628 >>> 台北廣慈宮
51631 >>> 福山巖仙公廟
51636 >>> 濟公廟
51639 >>> 玄門紫玄宮
51641 >>> 護境宮
51642 >>> 感天宮
51646 >>> 百年土地公
51650 >>> 東麓福安宮
51652 >>> 清水橋福德宮
51654 >>> 鶯歌碧龍宮
51656 >>> 慈蓮寺台北法源中心
51657 >>> 得安宮
51659 >>> 土地公(鎮明宮)
51661 >>> 保安寺
51664 >>> 福仁宮
51668 >>> 妙善宮
51669 >>> 玉福宮
51670 >>> 姜太公廟
51671 >>> 呂山財神廟
51672 >>> 楠橋福德祠
51677 >>> 天王廟
51679 >>> 王母廟
51681 >>> 中華北極殿
51689 >>> 山佳泰興宮(百年土地公廟)
51693 >>> 土地公廟
51694 >>> 天后宮樹林媽
51698 >>> 大安寺
51701 >>> 開山紀念堂
51702 >>> 生命電視樹林菩提講堂
51706 >>> 桃園市龜山區福山五路財神廟
51708 >>> 龜山關公嶺北天宮
51712 >>> 元德寶宮
51717 >>> 永興宮 福德正神
51718 >>> 福興廟
51721 >>> 甲仙龍鳳寺
51722 >>> 內門南海紫竹林寺紅面觀音總廟
51725 >>> 普濟寺
51726 >>> 南天世昌府
51727 >>> 林口新福宮
51732 >>> 竹林山寺福德宮
51733 >>> 福德正神
51739 >>> 北文紫祥宮包公廟
51742 >>> 土地公廟
51743 >>> 林口天佑宮
51745 >>> 土地公廟
51746 >>> 南勢福德宮
51748 >>> 林口慶安宮三山國王
51750 >>> 嘉天宮
51752 >>> 賜福宮
51756 >>> 林口慶安宮
