 編號		店家名稱
36638 >>> 衣潔自助洗衣坊新屋店
36640 >>> 凱莉洗衣店
36641 >>> 雅竹洗衣店附設繡學號
36643 >>> 自立洗衣店
36646 >>> 洗多屋自助洗衣
36666 >>> 友成潔淨企業有限公司
36670 >>> 衣必洗24H自助洗衣店
36679 >>> 奇潔自助洗衣店
36691 >>> 夏澎洗衣店
36693 >>> Mr. Clean Laundry 自助洗衣
36694 >>> 得意洗衣
36708 >>> 衣貝潔乾洗連鎖店
36723 >>> 翔登精緻洗衣店
36725 >>> 我家自助洗衣店
36728 >>> 同安洗衣店
36730 >>> 中華洗衣事業
36734 >>> 優必洗自助洗衣店
36736 >>> 依吉幫自助洗衣24H
36743 >>> 德生洗染店
36748 >>> 建新洗染店
36757 >>> 亞士潔實業有限公司
36761 >>> 24H投幣式自助洗衣
36767 >>> 寶貝熊24小時投幣自助洗衣
36771 >>> 冠穎洗衣店
36777 >>> 媽媽樂投幣式洗衣坊
36778 >>> 宏閩洗衣設備有限公司
36779 >>> 揚揚自助洗衣
36780 >>> EVER CLEAN
36784 >>> 衣潔專業洗衣
36785 >>> 銘傳SMART大廈管理委員會
36786 >>> 洗衣王投幣式洗衣店
36787 >>> 洗衣王
36788 >>> 新宿專業自助洗烘
36789 >>> 投幣式自助洗衣
36802 >>> 波波自助投幣式洗衣(民族店)
36810 >>> 大京號機器洗染廠
36817 >>> AQUA日本24小時自助洗衣店-十氛台中店
36827 >>> 滿吉機器乾洗股份有限公司
36877 >>> 美德專業洗衣店
36897 >>> 環球洗衣店
36908 >>> 白馬專業乾洗衣店
36920 >>> 台中市洗衣商業同業公會
36930 >>> 白洋洗衣廠
36936 >>> 中泰洗衣店
36938 >>> 衣潔亮自助洗衣店
36950 >>> 宏美洗衣店
36958 >>> 潔坊洗衣店
36964 >>> 富美洗衣店
36970 >>> 美勝專業洗衣
36988 >>> 東山洗衣店
36994 >>> 洗衣婆北屯店
36997 >>> 潔屋聯盟(送洗)
37001 >>> 喬琪洗衣器材行
37003 >>> 全美洗衣店
37005 >>> 潔屋洗衣聯盟
37010 >>> 特威力投幣式洗衣店 中平店
37014 >>> 加奇洗衣店
37016 >>> 大爾歐式乾洗名店
37020 >>> 賴媽媽洗衣店
37023 >>> 銘星洗衣店
37027 >>> 大慶洗衣店
37030 >>> 正宗乾洗店
37031 >>> 亮采洗衣坊
37046 >>> 明美洗染商店
37054 >>> 達新洗衣店
37061 >>> 長頸鹿自助洗衣店
37066 >>> 信美乾洗商店
37072 >>> 華京洗衣店
37073 >>> 信德洗衣
37084 >>> 清新洗衣店
37085 >>> 宏美洗衣店
37112 >>> 永祥洗衣店
37115 >>> 正和乾洗衣店
37118 >>> 盛吉洗衣店
37130 >>> 新興洗衣店
37134 >>> 良美洗衣店
37137 >>> 日鴻洗衣店
37154 >>> 24小時投幣式洗衣
37158 >>> 東倫洗衣店
37160 >>> 清美洗衣店
37179 >>> 華王洗衣店
37182 >>> 泓喜洗衣店
37185 >>> 嘉王洗衣店
37190 >>> 來來洗衣店
37191 >>> 尚新洗衣店
37192 >>> 博愛洗衣店
37193 >>> 全國專業洗衣店
37194 >>> 淨衛君投幣式自助洗衣店
37198 >>> 喜美洗衣店
37210 >>> 好方便洗衣坊
37212 >>> 家禾洗衣專家
37215 >>> 銀美洗衣店
37216 >>> 加賀24H投幣式自助洗衣
37227 >>> 衣速潔投幣式自助洗衣店-長安店
37230 >>> 洗特樂自助洗衣 - 台中逢甲店
37245 >>> 吉興洗衣店
37252 >>> 嘉美洗衣店
37279 >>> 民弘洗衣店
37296 >>> 潔屋洗衣聯盟-文昌店
37305 >>> 鎂潔乾洗店
37310 >>> 龍昌洗衣號
37313 >>> 自助洗衣
37316 >>> 華興洗衣店
37321 >>> 民光洗衣店
37333 >>> 超群洗衣
37337 >>> 林芳美洗衣店
37343 >>> 金挺洗衣器材有限公司
37373 >>> 昌興洗衣店
37385 >>> 上明洗衣店
37393 >>> Zhang Xixi Laundry - wash/dry/fold
37397 >>> 清新自助洗衣
37401 >>> 衣美洗衣坊
37404 >>> 加新洗衣店
37407 >>> 熊大洗衣坊
37411 >>> 潔白洗衣屋
37413 >>> 全清機械乾洗店
37416 >>> 亮麗專業洗衣
37417 >>> 大維洗衣聯盟
37419 >>> 東京洗衣店
37420 >>> 豪美電腦洗衣
37426 >>> 寶山洗衣堀
37428 >>> 瑞興洗衣店
37433 >>> 展利專業洗衣
37440 >>> 誠洽洗衣店
37452 >>> 波波投幣洗衣店
37464 >>> 富美洗衣店
37466 >>> 鎂潔洗衣聯盟
37467 >>> 好媽媽自助洗衣店(草湖店)
37476 >>> 藍泡泡霧峰店
37479 >>> 林美洗染廠
37500 >>> 佳美洗衣店
37501 >>> 來新乾洗衣店
37502 >>> 喜亦洗衣
37503 >>> 新大福乾洗商店
37504 >>> 富潔洗衣店
37527 >>> 淨淳洗衣店
37530 >>> 永昌洗衣店
37537 >>> 天賜洗衣店
37538 >>> 潔馨自助洗衣店
37539 >>> 永新洗衣店
37541 >>> 東禾洗衣店
